id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ZNF574	16	0.53969	0.68201	0.999599	869	1	-0.0095775	0.49583	0.67716	0.980535	933	1	-0.0095775
HMX2	16	0.26176	0.45178	0.999599	566	3	-0.016501	0.49952	0.67926	0.981211	934	2	-0.016501
TBX3	16	0.87815	0.87982	0.999599	1152	1	0.02255	0.50029	0.67971	0.981211	935	1	0.02255
RARG	16	0.70027	0.78471	0.999599	1009	1	0.038806	0.50299	0.68126	0.981211	936	2	0.038806
ZNF816	16	0.11039	0.25781	0.999599	346	4	-0.024862	0.50605	0.68303	0.981211	937	2	-0.024862
REST	16	0.87053	0.87358	0.999599	1138	1	-0.0074649	0.50682	0.68347	0.981211	938	1	-0.0074649
HOXA9	16	0.8901	0.89041	0.999599	1171	1	0.020319	0.50766	0.68395	0.981211	939	2	0.020319
ZNF641	16	0.94832	0.94833	0.999599	1263	0	0.018324	0.5079	0.6841	0.981211	940	2	0.018324
NFIL3	16	0.35349	0.55332	0.999599	698	1	-0.017347	0.50872	0.68457	0.981211	941	2	-0.017347
MIXL1	16	0.0058823	0.025798	0.522791	64	6	-0.095094	0.50948	0.68501	0.981211	942	2	-0.095094
HOXA5	16	0.89486	0.89492	0.999599	1180	1	0.015462	0.51112	0.68596	0.981211	943	2	0.015462
ZBTB18	16	0.80917	0.8331	0.999599	1083	1	-0.0026094	0.51401	0.68764	0.981211	944	1	-0.0026094
ZNF217	16	0.94354	0.94355	0.999599	1253	0	0.027917	0.51506	0.68825	0.981211	945	2	0.027917
CCL1	16	0.1072	0.25229	0.998547	341	4	-0.016588	0.51627	0.68895	0.981211	946	1	-0.016588
GMEB2	16	0.20213	0.3855	0.999599	486	2	-0.031591	0.51664	0.68916	0.981211	947	1	-0.031591
MSX2	16	0.30662	0.50148	0.999599	639	3	4.2154e-05	0.51752	0.68968	0.981211	948	2	4.2154e-05
HIVEP2	16	0.62111	0.74469	0.999599	958	2	0.0078485	0.51776	0.68982	0.981211	949	2	0.0078485
TIGD6	16	0.68308	0.77864	0.999599	1001	1	-0.024289	0.51838	0.69018	0.981211	950	2	-0.024289
ZNF101	16	0.65557	0.76954	0.999599	991	1	-0.0026189	0.52	0.69113	0.981211	951	1	-0.0026189
CCDC169-SOHLH2	16	0.30364	0.49818	0.999599	633	3	-0.00020308	0.52111	0.69178	0.981211	952	1	-0.00020308
MNT	16	0.0070064	0.029963	0.532942	75	3	-0.011387	0.52533	0.69426	0.981211	953	2	-0.011387
ZFHX3	16	0.32462	0.52141	0.999599	663	2	-0.0418	0.52557	0.69441	0.981211	954	2	-0.0418
PAX3	16	0.041883	0.12855	0.927799	186	5	-0.07234	0.52701	0.69526	0.981211	955	2	-0.07234
IL2RA	16	0.037226	0.11667	0.910097	173	4	0.025578	0.52775	0.6957	0.981211	956	2	0.025578
ZSCAN4	16	0.24102	0.42875	0.999599	537	1	-0.0087944	0.52811	0.69591	0.981211	957	1	-0.0087944
PTF1A	16	0.12028	0.27481	0.999599	363	2	-0.029429	0.53113	0.6977	0.981211	958	2	-0.029429
ZNF418	16	0.36229	0.56238	0.999599	710	1	0.01532	0.53234	0.69842	0.981211	959	2	0.01532
PITX1	16	0.91255	0.91256	0.999599	1210	0	-0.016154	0.53258	0.69856	0.981211	960	2	-0.016154
ZFHX4	16	0.56023	0.69727	0.999599	895	2	0.030448	0.53357	0.69915	0.981211	961	2	0.030448
ZFP3	16	0.18304	0.36424	0.999599	459	2	-0.026592	0.5343	0.69958	0.981211	962	2	-0.026592
NCR2	16	0.004584	0.02092	0.522791	49	5	-0.011084	0.53738	0.70142	0.981211	963	2	-0.011084
SKOR2	16	0.97667	0.97668	0.999599	1308	0	0.011665	0.53969	0.7028	0.981211	964	1	0.011665
BARHL1	16	0.20182	0.38516	0.999599	484	1	-0.023058	0.54005	0.70301	0.981211	965	1	-0.023058
ZBTB11	16	0.91072	0.91073	0.999599	1207	0	0.010894	0.54147	0.70387	0.981211	966	2	0.010894
E2F1	16	0.012684	0.050372	0.709005	95	3	-0.043818	0.54215	0.70427	0.981211	967	2	-0.043818
ZNF263	16	0.35619	0.55629	0.999599	703	2	0.0018172	0.54381	0.70527	0.981211	968	2	0.0018172
ZNF77	16	0.69448	0.78263	0.999599	1004	1	-0.023826	0.54428	0.70556	0.981211	969	2	-0.023826
LCORL	16	0.80681	0.8318	0.999599	1079	1	-0.02478	0.54467	0.70578	0.981211	970	1	-0.02478
ZNF787	16	0.29134	0.48456	0.999599	610	3	0.041075	0.54523	0.70612	0.981211	971	2	0.041075
ZNF341	16	0.093664	0.22868	0.987332	312	2	-0.0044219	0.54643	0.70685	0.981211	972	1	-0.0044219
HESX1	16	0.63513	0.75609	0.999599	975	1	0.017513	0.54819	0.70791	0.981211	973	2	0.017513
VDR	16	0.050205	0.14938	0.966365	207	1	0.017064	0.54854	0.70812	0.981211	974	2	0.017064
SIX2	16	0.92212	0.92213	0.999599	1225	0	0.044535	0.54855	0.70813	0.981211	975	1	0.044535
ZNF527	16	0.6334	0.75467	0.999599	974	2	0.01171	0.55066	0.70941	0.981974	976	2	0.01171
IRF7	16	0.50443	0.65658	0.999599	833	2	-0.0057571	0.5569	0.71322	0.986246	977	1	-0.0057571
TCF12	16	0.72264	0.79312	0.999599	1021	1	0.025167	0.55965	0.7149	0.987562	978	2	0.025167
CREB5	16	0.13379	0.29771	0.999599	383	3	0.0079021	0.56186	0.71626	0.988428	979	2	0.0079021
MSX1	16	0.27918	0.47109	0.999599	597	2	-0.026602	0.56463	0.71797	0.98845	980	2	-0.026602
IL17A	16	0.0033127	0.016066	0.522791	39	5	-0.074756	0.56477	0.71806	0.98845	981	1	-0.074756
BTNL10	16	0.0021487	0.011025	0.461283	32	4	-0.040558	0.56544	0.71847	0.98845	982	2	-0.040558
ZNF705B	16	0.51161	0.66169	0.999599	842	2	0.010485	0.56716	0.71954	0.988904	983	2	0.010485
HOXB5	16	0.091659	0.22515	0.982102	309	4	-0.040032	0.5705	0.7216	0.990739	984	1	-0.040032
NPAS1	16	0.8815	0.88269	0.999599	1159	1	0.025713	0.57493	0.72437	0.991682	985	2	0.025713
PAX6	16	0.87988	0.88129	0.999599	1155	1	0.017395	0.57833	0.7265	0.991682	986	2	0.017395
ELK1	16	0.22194	0.40755	0.999599	507	2	0.0081634	0.58036	0.72778	0.991682	987	2	0.0081634
ZNF765	16	0.0016507	0.0086575	0.411017	28	5	-0.016706	0.58695	0.73194	0.991682	988	1	-0.016706
ZNF396	16	0.89242	0.89257	0.999599	1177	1	0.034071	0.58888	0.73318	0.991682	989	1	0.034071
HOXC13	16	0.0087538	0.036355	0.598025	82	3	-0.02207	0.5893	0.73345	0.991682	990	2	-0.02207
DMAP1	16	0.18059	0.3615	0.999599	455	3	0.0003943	0.59241	0.73543	0.991682	991	2	0.0003943
ZNF597	16	0.8173	0.83769	0.999599	1093	1	-0.023489	0.59304	0.73584	0.991682	992	1	-0.023489
ZNF716	16	0.17752	0.35808	0.999599	454	2	-0.011316	0.59463	0.73685	0.991682	993	1	-0.011316
