sgRNA	Gene	D1_High	D1_Low	D2_High	D2_Low
s_2041	TNFRSF11A	4306	3550	4113	4735
s_2239	ZMIZ1	4756	3978	4514	5224
s_985	ITPA	4076	3434	3707	4324
s_1933	TFDP1	3920	3181	3553	4198
s_553	DUSP1	4289	2668	4001	3442
s_1529	PPP2R1B	3698	3118	3400	3992
s_2495	Non-Targeting Control	3619	2951	3361	3721
s_1856	SPP1	3239	2647	3007	3492
s_2850	Non-Targeting Control	5507	4505	4963	5695
s_689	GNRH1	3296	2758	3124	3548
s_2367	Non-Targeting Control	2564	2050	2629	2703
s_2598	Non-Targeting Control	2744	2137	2312	2685
s_968	IRF5	4734	4045	4491	5167
s_419	CSMD3	4493	3796	4088	4880
s_441	CTPS1	4366	3502	4098	4792
s_616	ERG	4736	3699	4516	4884
s_870	IKBKG	1452	1244	1409	1633
s_2831	Non-Targeting Control	3388	2675	3177	3581
s_731	GTF2IRD1	2929	2384	2818	3032
s_541	DPP10	4379	3646	4065	4597
s_2503	Non-Targeting Control	4200	3440	3974	4120
s_2274	SOCS3	3439	2902	3225	3805
s_2595	Non-Targeting Control	4705	3720	4400	4929
s_2475	Non-Targeting Control	4955	3919	4590	5241
s_1807	SLC35A1	3654	2983	3427	3872
s_2260	TYRO3	2804	2394	2671	3039
s_2441	Non-Targeting Control	4495	3822	4242	5031
s_2633	Non-Targeting Control	4247	3320	3628	4375
s_1914	TAPBP	2875	2400	2682	3105
s_851	IFNAR1	4192	3332	4095	4239
s_2877	Non-Targeting Control	3477	2834	3104	3604
s_2575	Non-Targeting Control	3804	3090	3670	4247
s_1340	NFKBIE	3225	2735	3013	3599
s_263	CCDC174	4528	3522	4182	4547
s_795	HLA-DQB1	4330	3337	3747	4364
s_6	AAGAB	4570	3798	4199	5002
s_932	IQCH	2826	2428	2720	2930
s_2565	Non-Targeting Control	4837	4151	4544	5425
s_1687	RIPK2	4565	3718	4206	4743
s_2165	VARS2	3717	2976	3426	3853
s_745	HAX1	2183	1758	2152	2339
s_1760	SEC61A1	5864	5065	5615	6439
s_892	IL17RA	3430	2815	3057	3566
s_1931	TCF19	4201	3514	3931	4633
s_758	HIST1H3A	4247	3523	3880	4569
s_734	GYPC	4279	3324	3815	4525
s_2838	Non-Targeting Control	4755	3754	4462	5150
s_2533	Non-Targeting Control	4451	3388	3836	4501
s_1155	MAP3K1	5662	4832	5331	6317
s_1936	TFDP1	4894	4108	4677	5346
s_401	CRIPAK	5282	4121	4476	5819
s_274	CCL2	3835	2932	3534	3925
s_2459	Non-Targeting Control	4996	4229	4975	5678
s_345	CFTR	3887	3195	3791	4117
s_465	CYBA	4774	3934	4353	5088
s_1559	PRKRA	4695	3838	4355	4868
s_703	GPAA1	4139	3254	3781	4277
s_2259	TYRO3	4002	3157	3793	4221
s_474	CYLD	4303	3179	3763	3992
s_2255	ZNRD1	4314	3654	4155	4716
s_391	COMMD8	2864	2285	2594	2949
s_2707	Non-Targeting Control	4162	3398	3975	4603
s_1808	SLC35A1	4524	3822	4262	4981
s_2714	Non-Targeting Control	2522	2088	2429	2769
s_1480	PIK3CD	3629	2826	3349	3628
s_2747	Non-Targeting Control	3250	2701	2958	3502
s_291	CD151	3245	2538	2901	3254
s_1599	RABGGTA	4245	3394	3833	2728
s_57	ANGPTL6	5151	4016	4711	5263
s_1118	LZTS1	3266	2741	3196	3576
s_943	IRAK3	3196	2486	2984	3515
s_847	IFI30	4124	3489	3965	4292
s_15	ACP5	4152	3404	4064	4471
s_2284	IDO1	6889	5477	6124	7122
s_125	ATP5D	2760	2241	2493	2938
s_929	IQCH	2319	1993	2238	2469
s_453	CTSZ	3738	3114	3429	4316
s_2910	Non-Targeting Control	4813	3829	4499	5059
s_1423	OTULIN	2996	2390	2941	3056
s_2102	TSPAN4	5351	4345	4997	5575
s_1057	KSR1	4490	3484	4078	4750
s_248	CASP8	3428	2807	2938	3619
s_2082	TRAM1	4351	3610	3954	4774
s_2551	Non-Targeting Control	3836	3112	3671	4175
s_780	HLA-DMA	4892	3932	4451	5032
s_1625	RBX1	4295	3776	3967	4744
s_2476	Non-Targeting Control	4990	3838	4520	5197
s_9	ABCF1	3922	3127	3747	4259
s_1815	SLC37A4	5938	4856	5445	6373
s_1675	RHOA	4804	3704	4494	4781
s_1094	LRP1B	4197	3268	3792	4486
s_2296	MYB	3595	2985	3537	3825
s_2375	Non-Targeting Control	3692	2906	3345	3774
s_11	ABCF1	3418	2726	3113	3542
s_596	EIF5	4646	3687	4040	4885
s_2554	Non-Targeting Control	3641	3022	3443	3847
s_1720	RPSA	4274	3446	3892	4386
s_2024	TMEM70	3943	3319	3724	4411
s_1072	LACC1	3532	2711	3163	3627
s_987	ITPA	414	361	347	417
s_1036	KIF15	3802	3033	3402	4044
s_83	ARAP2	4657	3845	4526	5062
s_1150	MAP2K7	2876	2415	2739	3185
s_2675	Non-Targeting Control	3514	2881	3087	3727
s_1830	SLITRK5	3251	2648	3196	3408
s_2744	Non-Targeting Control	3416	2754	3235	3790
s_2849	Non-Targeting Control	4671	3688	4234	4933
