sgRNA	Gene	D1_high	D1_low	D2_high	D2_low	D3_high	D3_low	D4_high	D4_low
s_5653	Non-Targeting Control	1883	2204	2122	2925	136	142	46	86
s_3656	ZNF492	3894	4528	4686	5799	1373	1516	558	697
s_31	AIRE	991	1201	1188	1423	135	131	38	89
s_4088	ZIC4	1792	1989	2001	2610	661	738	217	310
s_4052	ZNF93	3820	4279	4514	5666	1182	1277	466	539
s_420	EPAS1	1907	2215	2202	2770	531	573	217	242
s_1945	TAP2	2165	2444	2412	3232	726	811	271	384
s_1038	IL10	1842	2033	1982	2665	663	655	242	310
s_37	PHOX2A	923	936	1116	1466	226	239	84	122
s_4064	SCRT1	1401	1635	1588	2182	361	461	155	201
s_837	HOXB1	1887	2097	2052	2810	73	75	26	33
s_2263	ZNF182	2687	3003	3055	4089	760	769	280	361
s_1500	PBX1	3964	4216	4463	5640	852	823	307	384
s_2591	GCM1	1839	2072	2100	2822	82	93	34	36
s_1953	TBP	2024	2362	2209	3059	804	860	365	360
s_572	FOS	1597	1782	1830	2221	736	808	275	362
s_4524	ZSCAN29	1775	1982	1963	2663	453	481	231	244
s_4117	NKX6-2	1382	1559	1555	1964	622	643	231	275
s_2573	NR0B2	2301	2411	2341	3195	530	460	186	201
s_5840	Non-Targeting Control	2803	2984	3123	4043	484	508	219	222
s_4880	LCORL	1662	1854	1743	2457	26	34	7	14
s_4391	HSF5	2819	3137	3017	4092	1049	1145	361	522
s_4900	NCR3	1493	1569	1540	2039	239	299	93	187
s_1333	NFATC1	1589	1959	1798	2507	578	647	243	310
s_3199	GMEB2	1850	1996	1939	2695	129	160	62	99
s_5175	ONECUT3	1261	1446	1377	1855	260	291	105	149
s_4034	ZNF34	2896	3284	3200	4293	1200	1433	481	593
s_1088	IRF1	2250	2586	2587	3381	477	520	197	269
s_4232	ZNF468	3019	3291	3189	4203	155	182	68	90
s_1318	MYOG	2909	3217	3232	4251	41	72	15	30
s_4246	ZNF486	2562	2722	2888	3789	933	983	366	482
s_4199	SCRT2	1152	1249	1219	1581	382	482	147	218
s_1199	MAX	1817	2042	1952	2565	751	761	322	384
s_5388	CCDC169-SOHLH2	3733	4173	4099	5503	37	60	7	13
s_2303	ZNF41	2422	2659	2769	3489	1075	1189	398	514
s_480	ETV5	2074	2175	2360	2937	309	375	125	137
s_3239	FOXP1	2730	2981	3033	4001	954	945	373	421
s_2190	ZBTB14	1945	2050	2097	2783	585	678	250	315
s_2390	ZNF143	1902	2152	1961	2620	779	827	310	370
s_4009	SP6	1106	1219	1209	1650	82	75	25	49
s_5016	ZFP69	1820	2102	2143	2875	264	442	128	143
s_1802	SLAMF1	2638	2787	2892	3717	885	1041	341	495
s_1731	VPS52	1028	1118	1049	1483	316	365	109	178
s_1807	SNAI2	3254	3596	3419	4587	799	845	311	406
s_5312	ZNF705D	2508	2696	2755	3567	793	896	346	367
s_4316	ZNF101	3167	3524	3682	4914	417	437	167	207
s_2311	ZNF45	1942	2065	2034	2794	558	605	218	260
s_2662	MSC	1341	1480	1537	2035	501	554	220	274
s_4557	ZNF524	2272	2451	2386	3236	571	592	236	291
s_3737	ZNF350	3010	3372	3254	4326	256	318	99	139
s_2531	NR4A3	3295	3864	3692	4908	1330	1503	544	708
s_3075	ATF6	2286	2638	2672	3503	1015	1048	370	498
s_3400	ETV7	1652	2012	2027	2651	469	561	219	226
s_443	ESRRA	1270	1509	1487	1918	12	12	2	3
s_4991	FOXD4L3	2387	2366	2387	3233	1004	1058	379	461
s_2426	ZNF177	2150	2426	2400	3017	846	876	342	414
s_4489	FOXR2	3331	3712	3789	4773	225	309	105	127
s_4219	TGIF2LX	2212	2510	2560	3357	682	746	299	349
s_3957	ZNF669	2564	2828	3014	4043	715	795	323	350
s_4797	FOXD4L1	2672	3082	2880	3902	860	1029	412	455
s_3928	LIN28A	2089	2197	2225	2919	148	83	66	50
s_432	ERG	2305	2785	2770	3430	76	168	38	63
s_3510	ZNF416	3078	3576	3326	4483	704	940	193	391
s_972	IRF8	2611	2927	2668	3688	1048	1090	361	518
s_1243	MITF	1291	1289	1379	1724	410	472	178	224
s_5246	FOXB2	1884	1950	2042	2644	644	727	293	369
s_672	GZMA	3325	3770	3638	4892	1298	1270	510	579
s_4008	ZKSCAN3	2047	2258	2289	3079	302	413	136	186
s_3832	GZF1	1880	2014	2070	2781	620	682	221	284
s_5128	ZNF761	1962	2168	2246	2930	68	93	31	40
s_452	ESRRG	1864	2164	2146	2760	287	334	136	169
s_3262	KLF15	3040	3295	3288	4194	1077	1200	458	548
s_1744	SATB1	3181	3787	3940	5102	1265	1346	515	670
s_3267	ZBTB44	1679	1977	1969	2639	723	804	264	361
s_384	ELF4	1793	2068	1912	2627	721	813	261	368
s_2028	MLX	1640	1978	1838	2476	669	686	214	302
s_2814	FLOT1	1901	2091	1943	2662	349	495	173	210
s_1383	NFKB1	1772	1980	1975	2721	809	779	315	349
s_740	HLX	1429	1593	1481	1978	492	571	210	248
s_5524	Non-Targeting Control	1952	2159	2102	2803	432	500	149	283
s_597	GATA2	1737	1842	1705	2320	722	801	256	352
s_1926	STAT5B	3696	4131	4166	5333	1479	1548	584	691
s_5619	Non-Targeting Control	2616	2884	3008	3995	790	877	328	373
s_1007	IL4	4095	4577	4650	6018	298	356	100	229
s_2015	ZNF354A	3644	4001	4062	5254	651	639	270	300
s_4230	ZNF468	3528	3989	4085	5175	1211	1347	516	613
s_747	NR4A1	3849	4316	4154	5529	196	204	86	80
s_205	CCR3	2901	3206	3178	4283	1069	1181	479	555
s_1857	SP1	3023	3270	3443	4323	408	446	185	194
s_1181	SMAD5	2426	2630	2738	3465	217	374	107	115
s_3258	BHLHE22	1679	1978	1887	2575	249	296	106	117
s_2833	IKZF1	2736	3212	3137	4268	1012	1108	404	480
s_2879	BATF	2574	2807	2786	3654	1153	1248	444	587
s_3361	ZNF219	1642	1996	1950	2522	242	292	109	160
s_4728	OLIG3	2766	3065	3028	4030	327	414	150	188
s_4071	TFAP2D	2062	2422	2330	3306	890	969	344	429
s_1392	NFKBIL1	2118	2247	2052	2902	116	123	58	61
s_1634	PSMB9	1317	1438	1462	1936	561	641	225	236
s_2765	MAFB	2746	3161	3064	4100	390	570	170	224
s_379	ELF3	1172	1417	1367	1779	418	520	201	234
s_1229	MEOX1	2561	2796	2671	3755	856	968	367	426
s_63	ATF1	1019	1126	1132	1613	313	379	168	187
s_2450	ZNF200	2044	2387	2364	3022	79	93	33	49
s_3602	BBX	3200	3546	3505	4576	232	347	124	140
s_3125	ZNF281	1263	1309	1500	1938	171	123	36	65
s_1474	PAX3	1166	1362	1386	1835	514	569	249	270
s_1067	IL17A	2301	2481	2494	3468	436	603	215	367
s_4310	PRDM6	3186	3599	3572	4603	1208	1331	498	628
s_5334	ZNF730	3344	3832	3682	4963	1336	1457	489	654
s_2042	TEF	3676	4336	4126	5442	56	65	28	27
s_5253	DPRX	2783	3005	3000	4013	1004	997	411	484
s_2088	TFE3	1524	1683	1807	2278	108	126	43	70
s_2073	NR2F2	1920	2051	2159	2713	715	803	307	371
s_574	FOSB	1748	1944	1818	2522	152	188	82	81
s_1741	SATB1	3340	3736	3838	4938	1006	1130	402	523
s_3117	HEY1	1751	1909	1966	2512	282	317	159	134
s_2461	ZNF213	3254	3587	3609	4696	374	321	134	178
s_3836	CPEB1	2327	2544	2729	3521	707	749	297	349
s_810	HOXA5	2174	2412	2371	3164	975	1000	328	434
s_5118	TBPL2	1473	1627	1839	2358	483	542	197	269
s_1939	TAL1	1437	1569	1615	2132	448	533	194	227
s_5028	HMX3	1459	1620	1455	2060	93	102	42	32
s_3760	ZNF667	3782	4164	4213	5408	1217	1479	435	559
s_1703	RORA	1897	2121	2184	2890	403	398	192	173
