sgRNA	Gene	D3_high	D3_low	D4_high	D4_low
s_52	ASCL1	471	541	180	213
s_5734	Non-Targeting Control	428	485	177	203
s_2153	UBP1	684	788	278	365
s_2393	ZBTB16	193	334	95	151
s_780	ONECUT1	559	567	186	261
s_656	GSC2	974	1079	340	442
s_1815	SNAI1	1096	1204	441	518
s_1103	IRF5	745	881	302	391
s_918	HOXD4	119	126	44	68
s_3237	FOXP1	776	804	264	380
s_253	CRX	751	772	268	371
s_4024	ESX1	226	236	70	122
s_488	MECOM	1493	1565	632	746
s_735	HLF	573	649	216	335
s_2374	ZNF135	473	527	227	272
s_3767	DMRTC2	639	706	286	284
s_4915	ZNF740	1023	1052	375	466
s_600	GATA2	553	586	229	283
s_2096	TGFBR1	507	491	193	258
s_3922	ZNF768	368	409	154	177
s_4327	ZNF257	807	863	301	421
s_2880	BATF	700	747	274	337
s_3816	NSD1	1081	1202	417	576
s_4755	ZNF169	994	1189	400	514
s_1802	SLAMF1	885	1041	341	495
s_1629	PROX1	478	585	205	256
s_4832	ZNF25	436	486	217	197
s_1889	SREBF2	249	293	125	144
s_5194	HELT	480	541	217	230
s_5153	LIN28B	983	1139	398	508
s_402	EMX1	482	519	188	225
s_3764	FKBPL	541	650	220	318
s_4811	ZSCAN4	272	307	96	132
s_845	HOXB3	609	755	218	356
s_2764	ARNT2	393	429	184	198
s_4195	LBX2	915	985	332	501
s_4580	ZNF558	1059	1260	426	496
s_4032	LY6G5C	726	763	282	363
s_5707	Non-Targeting Control	236	284	111	116
s_905	HOXC13	175	316	74	146
s_3885	ZNF343	186	299	97	139
s_205	CCR3	1069	1181	479	555
s_5126	ZNF808	141	127	62	93
s_2028	MLX	669	686	214	302
