sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
s_805_r2	HOXA4	304.23	250.34	304.23	250.34	-0.28027	1452.2	3016.8	0.9812	0.16325	0.83675	0.32649	0.99995	False
s_5302_r2	FOXD4L5	1018.1	1116.6	1018.1	1116.6	0.13322	4859.1	10095	0.98116	0.83674	0.16326	0.32652	0.99995	True
s_1493_r2	PAX9	525.36	454.56	525.36	454.56	-0.20839	2505.8	5209.5	0.98083	0.16334	0.83666	0.32668	0.99995	False
s_4731_r2	ZNF679	1396.5	1511.9	1396.5	1511.9	0.11449	6660.8	13848	0.98082	0.83666	0.16334	0.32668	0.99995	True
s_2787_r3	NR2E3	801.85	714.4	801.85	714.4	-0.16638	3823.8	7951.2	0.98073	0.16336	0.83664	0.32673	0.99995	False
s_3159_r3	VAX2	248.74	200.03	248.74	200.03	-0.31299	1186.1	2466.5	0.9807	0.16337	0.83663	0.32674	0.99995	False
s_3260_r2	BHLHE22	697.51	615.97	697.51	615.97	-0.17908	3324.5	6916.5	0.98046	0.16343	0.83657	0.32686	0.99995	False
s_5720_r2	Non-Targeting Control	1449.9	1332.4	1449.9	1332.4	-0.12187	6906.3	14378	0.98015	0.16351	0.83649	0.32701	0.99995	False
s_5752_r3	Non-Targeting Control	1243.7	1134.9	1243.7	1134.9	-0.13198	5920	12332	0.97983	0.16358	0.83642	0.32717	0.99995	False
s_1178_r2	SMAD4	848.88	938.77	848.88	938.77	0.14505	4040.2	8417.6	0.97977	0.8364	0.1636	0.3272	0.99995	True
s_119_r2	MYRF	658.92	579.73	658.92	579.73	-0.18442	3135.4	6533.9	0.97966	0.16363	0.83637	0.32725	0.99995	False
s_5902_r0	Non-Targeting Control	709.08	791.22	709.08	791.22	0.15792	3373.7	7031.3	0.97961	0.83636	0.16364	0.32728	0.99995	True
