sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
s_2274_r0	SOCS3	3223.9	3098.5	3223.9	3098.5	-0.057214	7861.3	20193	0.8824	0.18878	0.81122	0.37756	0.99724	False
s_2010_r0	TMEM176B	4640.3	4485.1	4640.3	4485.1	-0.049064	12042	30964	0.88195	0.1889	0.8111	0.3778	0.99724	False
s_1482_r0	PIK3R1	3641.6	3776.1	3641.6	3776.1	0.05229	9038.1	23295	0.88089	0.81081	0.18919	0.37838	0.99724	True
s_829_r0	HSPA1B	2956.2	2837.2	2956.2	2837.2	-0.059228	7074	18241	0.88069	0.18924	0.81076	0.37849	0.99724	False
s_2660_r0	Non-Targeting Control	4361.5	4212.1	4361.5	4212.1	-0.050256	11153	28790	0.88021	0.18937	0.81063	0.37874	0.99724	False
s_567_r0	ECSIT	2745.1	2858.8	2745.1	2858.8	0.058558	6470	16724	0.87962	0.81047	0.18953	0.37906	0.99724	True
s_1819_r0	SLC39A7	810.97	866.75	810.97	866.75	0.095852	1555.7	4025.1	0.8792	0.81035	0.18965	0.37929	0.99724	True
s_225_r0	CARD6	3501.6	3370.6	3501.6	3370.6	-0.055002	8583.3	22248	0.87841	0.18986	0.81014	0.37972	0.99724	False
s_1005_r0	JUN	2565.1	2674.1	2565.1	2674.1	0.060026	5942.7	15447	0.87718	0.80981	0.19019	0.38039	0.99724	True
s_2024_r0	TMEM70	3687.2	3552.6	3687.2	3552.6	-0.053614	9051.2	23638	0.87512	0.19075	0.80925	0.38151	0.99724	False
s_2522_r0	Non-Targeting Control	4131.5	4275.2	4131.5	4275.2	0.049308	10322	27015	0.87416	0.80898	0.19102	0.38203	0.99724	True
s_1576_r0	PTGER4	4515.9	4667.1	4515.9	4667.1	0.047512	11436	29991	0.87327	0.80874	0.19126	0.38251	0.99724	True
s_557_r0	E2F1	6274.5	6091.6	6274.5	6091.6	-0.042671	16725	44146	0.87047	0.19202	0.80798	0.38405	0.99724	False
s_2300_r0	GSX1	2472.9	2578.6	2472.9	2578.6	0.060372	5588.5	14798	0.86907	0.8076	0.1924	0.38481	0.99724	True
s_1592_r0	RAB32	1737.5	1651.5	1737.5	1651.5	-0.073165	3695.2	9791.3	0.86878	0.19248	0.80752	0.38497	0.99724	False
s_1681_r0	RIPK1	1159.8	1092	1159.8	1092	-0.086829	2298.6	6107.2	0.86761	0.1928	0.8072	0.38561	0.99724	False
s_1778_r0	SHARPIN	2765.1	2652.5	2765.1	2652.5	-0.059941	6335.9	16867	0.86677	0.19303	0.80697	0.38607	0.99724	False
s_2303_r0	TGFBR1	2880.6	2995.8	2880.6	2995.8	0.056539	6632.3	17696	0.86579	0.8067	0.1933	0.38661	0.99724	True
s_2345_r0	Non-Targeting Control	4103.7	4245.5	4103.7	4245.5	0.04897	10042	26802	0.86566	0.80666	0.19334	0.38668	0.99724	True
s_1566_r0	PSMB8	5769	5942	5769	5942	0.042623	14967	39993	0.86514	0.80652	0.19348	0.38696	0.99724	True
s_367_r0	CLEC16A	2644	2753.4	2644	2753.4	0.058487	5987.7	16005	0.86501	0.80648	0.19352	0.38703	0.99724	True
s_324_r0	CEBPB	3186.1	3064.3	3186.1	3064.3	-0.056242	7424.5	19916	0.86348	0.19394	0.80606	0.38788	0.99724	False
s_1627_r0	RBX1	2729.5	2618.3	2729.5	2618.3	-0.060015	6189.1	16613	0.86319	0.19402	0.80598	0.38803	0.99724	False
s_2800_r0	Non-Targeting Control	3326.1	3201.2	3326.1	3201.2	-0.055194	7797.8	20946	0.86288	0.1941	0.8059	0.3882	0.99724	False
s_1554_r0	PRKCQ	2392.9	2495.7	2392.9	2495.7	0.060669	5285.7	14239	0.86163	0.80555	0.19445	0.38889	0.99724	True
s_2700_r0	Non-Targeting Control	3934.9	4072.5	3934.9	4072.5	0.049572	9465.5	25512	0.86142	0.8055	0.1945	0.38901	0.99724	True
s_2863_r0	Non-Targeting Control	4968	4810.4	4968	4810.4	-0.046515	12428	33548	0.86074	0.19469	0.80531	0.38938	0.99724	False
s_2203_r0	YEATS4	2191.8	2289.4	2191.8	2289.4	0.062803	4759.7	12849	0.86074	0.80531	0.19469	0.38938	0.99724	True
s_595_r0	EIF5	3297.2	3173.3	3297.2	3173.3	-0.055253	7679.2	20733	0.86069	0.1947	0.8053	0.38941	0.99724	False
s_1313_r0	NFATC2	3577.2	3447.2	3577.2	3447.2	-0.053383	8447.4	22812	0.86058	0.19473	0.80527	0.38947	0.99724	False
s_2540_r0	Non-Targeting Control	3927.1	4064.4	3927.1	4064.4	0.049551	9419.9	25453	0.86033	0.8052	0.1948	0.38961	0.99724	True
s_1825_r0	SLITRK4	3533.8	3404.8	3533.8	3404.8	-0.053634	8320.6	22489	0.86022	0.19483	0.80517	0.38967	0.99724	False
s_1746_r0	SBDS	2238.5	2337.2	2238.5	2337.2	0.062197	4867	13170	0.85972	0.80503	0.19497	0.38994	0.99724	True
s_204_r0	C1orf141	1323.1	1250.6	1323.1	1250.6	-0.081277	2630.6	7122.1	0.85948	0.19504	0.80496	0.39008	0.99724	False
s_59_r0	ANGPTL6	2063	2157	2063	2157	0.064245	4416.9	11969	0.8591	0.80486	0.19514	0.39029	0.99724	True
s_1864_r0	STAT1	2898.4	3012.9	2898.4	3012.9	0.055885	6557	17824	0.85776	0.80449	0.19551	0.39103	0.99724	True
s_1431_r0	PABPC1	3761.6	3895	3761.6	3895	0.050264	8897.7	24199	0.85755	0.80443	0.19557	0.39114	0.99724	True
s_410_r0	CSF2RB	4049.3	3910.3	4049.3	3910.3	-0.050385	9662.3	26385	0.8558	0.19605	0.80395	0.39211	0.99724	False
s_1483_r0	PIK3R1	3937.1	3800.4	3937.1	3800.4	-0.05098	9347.6	25529	0.85575	0.19607	0.80393	0.39214	0.99724	False
s_2669_r0	Non-Targeting Control	3696	3564.3	3696	3564.3	-0.052339	8675.1	23704	0.85553	0.19613	0.80387	0.39226	0.99724	False
s_1051_r0	KRAS	506.58	547.8	506.58	547.8	0.11265	849.61	2329.2	0.85413	0.80348	0.19652	0.39303	0.99724	True
s_1758_r0	SEC61A1	3751.6	3884.2	3751.6	3884.2	0.050093	8789.5	24123	0.85365	0.80335	0.19665	0.3933	0.99724	True
s_2013_r0	TMEM258	4663.7	4513.1	4663.7	4513.1	-0.047343	11339	31146	0.85328	0.19675	0.80325	0.3935	0.99724	False
s_2692_r0	Non-Targeting Control	522.13	480.23	522.13	480.23	-0.12046	878.04	2412.4	0.85319	0.19678	0.80322	0.39355	0.99724	False
s_512_r0	DHX15	2906.2	2792.2	2906.2	2792.2	-0.057714	6498.4	17880	0.85258	0.19695	0.80305	0.39389	0.99724	False
s_903_r0	IL1B	3478.3	3351.7	3478.3	3351.7	-0.053479	8015.4	22074	0.85219	0.19706	0.80294	0.39411	0.99724	False
s_870_r0	IKBKG	1382	1308.2	1382	1308.2	-0.07906	2719.5	7493.5	0.85195	0.19712	0.80288	0.39424	0.99724	False
s_1200_r0	MBL2	1220.9	1152.4	1220.9	1152.4	-0.083279	2348.6	6484.2	0.85113	0.19735	0.80265	0.3947	0.99724	False
s_1829_r0	SLITRK5	3305	3182.3	3305	3182.3	-0.054562	7527.1	20790	0.85095	0.1974	0.8026	0.3948	0.99724	False
s_1590_r0	RAB32	3513.8	3386.8	3513.8	3386.8	-0.053103	8067.5	22339	0.84987	0.1977	0.8023	0.3954	0.99724	False
s_1104_r0	LRRFIP2	1664.2	1746.1	1664.2	1746.1	0.069316	3358.6	9310	0.84941	0.80217	0.19783	0.39566	0.99724	True
s_1997_r0	TMCO4	3185	3065.2	3185	3065.2	-0.055315	7181.4	19908	0.84939	0.19783	0.80217	0.39566	0.99724	False
